Framework,Benchmark,ProblemSize,Iteration,HostToDevice_ms,Kernel_ms,DeviceToHost_ms,Total_ms,Status
OpenCL,MatrixMultiplication,1024,18,1.746784,13.346016,0.634816,16.529568,PASS
OpenCL,MatrixMultiplication,1024,19,1.738944,13.371808,0.634976,16.553553,PASS
OpenCL,MatrixMultiplication,1024,20,1.736640,13.347808,0.634784,16.523730,PASS
OpenCL,MatrixMultiplication,1024,21,1.734112,13.343648,0.634784,16.518413,PASS
OpenCL,MatrixMultiplication,1024,22,1.851168,13.362496,0.635104,16.681061,PASS
OpenCL,MatrixMultiplication,1024,23,1.789152,13.361408,0.635040,16.595896,PASS
OpenCL,MatrixMultiplication,1024,24,1.766144,13.389280,0.635072,16.602746,PASS
OpenCL,MatrixMultiplication,1024,25,1.740224,13.347328,0.634848,16.539560,PASS
OpenCL,MatrixMultiplication,1024,26,1.753088,13.350080,0.634816,16.525044,PASS
OpenCL,MatrixMultiplication,1024,27,1.746944,13.356160,0.634976,16.593574,PASS
OpenCL,MatrixMultiplication,1024,28,1.751232,13.383488,0.635072,16.575051,PASS
OpenCL,MatrixMultiplication,1024,29,1.967200,13.369344,0.641696,16.862996,PASS
OpenCL,MatrixMultiplication,1024,30,1.809760,13.375200,0.634944,16.630108,PASS
OpenCL,MatrixMultiplication,2048,1,7.976000,107.353568,2.542528,118.725329,PASS
OpenCL,MatrixMultiplication,2048,2,7.989408,99.781312,2.542816,111.164733,PASS
OpenCL,MatrixMultiplication,2048,3,7.879136,99.894176,2.541568,111.220014,PASS
OpenCL,MatrixMultiplication,2048,4,8.004544,99.976736,2.560704,111.390642,PASS
OpenCL,MatrixMultiplication,2048,5,7.914432,99.859616,2.541504,111.203895,PASS
OpenCL,MatrixMultiplication,2048,6,7.908896,99.587776,2.541312,110.884224,PASS
OpenCL,MatrixMultiplication,2048,7,7.875264,99.992768,2.545792,111.261275,PASS
OpenCL,MatrixMultiplication,2048,8,7.893312,100.104032,2.542432,111.402667,PASS
OpenCL,MatrixMultiplication,2048,9,7.997728,99.910112,2.547904,111.320834,PASS
OpenCL,MatrixMultiplication,2048,10,7.885664,100.048768,2.546912,111.323159,PASS
OpenCL,MatrixMultiplication,2048,11,7.922400,99.999360,2.541536,111.312704,PASS
OpenCL,MatrixMultiplication,2048,12,7.943776,99.727136,2.554208,111.096122,PASS
OpenCL,MatrixMultiplication,2048,13,7.908000,99.853632,2.547552,111.145800,PASS
OpenCL,MatrixMultiplication,2048,14,7.897440,99.404032,2.541664,110.692008,PASS
OpenCL,MatrixMultiplication,2048,15,8.027104,100.008992,2.541536,111.429867,PASS
OpenCL,MatrixMultiplication,2048,16,8.000000,99.861472,2.567872,111.279007,PASS
OpenCL,MatrixMultiplication,2048,17,7.945024,99.856896,2.541760,111.193606,PASS
OpenCL,MatrixMultiplication,2048,18,7.979776,100.029248,2.541568,111.401411,PASS
OpenCL,MatrixMultiplication,2048,19,7.955968,99.904640,2.548256,111.252124,PASS
OpenCL,MatrixMultiplication,2048,20,7.987616,99.843488,2.541760,111.276763,PASS
OpenCL,MatrixMultiplication,2048,21,8.007264,99.673728,2.560864,111.097077,PASS
OpenCL,MatrixMultiplication,2048,22,8.000640,99.796896,2.541440,111.195985,PASS
OpenCL,MatrixMultiplication,2048,23,7.865184,99.957728,2.554464,111.230792,PASS
OpenCL,MatrixMultiplication,2048,24,7.915232,99.596192,2.541120,110.897301,PASS
OpenCL,MatrixMultiplication,2048,25,7.894400,100.127776,2.559872,111.426222,PASS
OpenCL,MatrixMultiplication,2048,26,7.900736,100.005472,2.550176,111.327804,PASS
OpenCL,MatrixMultiplication,2048,27,7.952384,100.136128,2.554464,111.488535,PASS
OpenCL,MatrixMultiplication,2048,28,8.053120,99.901952,2.554240,111.365107,PASS
OpenCL,MatrixMultiplication,2048,29,8.029888,99.905824,2.541280,111.364113,PASS
OpenCL,MatrixMultiplication,2048,30,7.912640,99.649856,2.541696,110.951721,PASS
